"Nummer","Datum","Art","Geschäft","URL","Date"
"597/2009","22.06.2009","Postulat","Postulat des Ratsmitgliedes Cla Famos und der übrigen Mitglieder der Kommission Öffentliche Dienste und Sicherheit (KÖS) betreffend Schaffung eines professionellen Projektmanagements für Bauvorhaben der Stadt Uster","https://www.uster.ch/politbusiness/96271?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-06-22"
"Antwort 588/2009","09.06.2009","Bericht und Antrag","Antwort  des Stadtrates auf die Anfrage Nr. 588 des Ratsmitgliedes Maja Burger betreffend Integration in Uster","https://www.uster.ch/politbusiness/91472?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=94","2009-06-09"
"596/2009","01.06.2009","kleine_anfrage","Anfrage des Ratsmitgliedes Werner Egli betreffend neue Führungsstrukturen in den Heimen der Stadt Uster","https://www.uster.ch/politbusiness/91132?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-06-01"
"Antwort 581/2009","26.05.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 581 des Ratsmitgliedes Werner Kessler","https://www.uster.ch/politbusiness/90728?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-26"
"Antwort 580/2009","26.05.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 580 des Ratsmitgliedes Werner Kessler","https://www.uster.ch/politbusiness/90727?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-26"
"Antwort 582/2009","26.05.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 582 des Ratsmitgliedes Werner Kessler","https://www.uster.ch/politbusiness/90729?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-26"
"Antwort 883/2009","26.05.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 583 des Ratsmitgliedes Werner Kessler","https://www.uster.ch/politbusiness/90730?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-26"
"Antwort 584/2009","19.05.2009","Bericht und Antrag","Antwort des Stadtrates auf die Anfrage Nr. 584 des Ratsmitgliedes Julia Amherd betreffend ""Arbeitsbedingungen für Pflegefamilien in Uster""","https://www.uster.ch/politbusiness/90331?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-19"
"315/2009","12.05.2009","Bericht und Antrag","Bericht des Stadtrates betreffend Verwirklichungsstand aktueller Verkehrsplanungsfragen sowie Verkehrskonzept Uster 2010","https://www.uster.ch/politbusiness/90013?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-12"
"316/2009","12.05.2009","Bericht und Antrag","Bericht und Antrag des Stadtrates zur Volksinitiative für eine Unterführung Winterthurerstrasse als Ersatz für den Barriereübergang","https://www.uster.ch/politbusiness/90017?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-12"
"314/2009","12.05.2009","Bericht und Antrag","Antrag des Stadtrates betreffend Zweckverband Region Zürcher Oberland RZO","https://www.uster.ch/politbusiness/90012?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-12"
"Antwort547/2009","12.05.2009","Bericht und Antrag","Antrag des Stadtrates betreffend Einzelinitiative Nr. 547 von Patricia Bernet betreffend ""Änderung der Bau- und Zonenordnung, Vision Energie 2050""","https://www.uster.ch/politbusiness/90021?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=95","2009-05-12"
"317/2009","12.05.2009","Bericht und Antrag","Antrag des Stadtrates betreffend Zweckverband Kehrichtverwertung Zürcher Oberland KEZO, Teilrevision der Statuten, Antrag an die Zweckverbandsgemeinden","https://www.uster.ch/politbusiness/90019?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=96","2009-05-12"
"594/2009","12.05.2009","kleine_anfrage","Anfrage Nr. 594 des Ratsmitgliedes Marianne Siegrist betreffend Weiterentwicklung eines Parkraumkonzepts entlang der Zürichstrasse","https://www.uster.ch/politbusiness/90334?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=96","2009-05-12"
"595/2009","11.05.2009","kleine_anfrage","Anfrage der Ratsmitglieder Benno Scherrer Moser und Cla Famos betreffend Senkung des Aufwandes im Budgetprozess","https://www.uster.ch/politbusiness/100997?filters%5Bnummer%5D=&filters%5Bkeyword%5D=&filters%5BstatusId%5D=&filters%5Bbehoerdenname%5D=&filters%5Bpage%5D=96","2009-05-11"
